id,source,doi,title,abstract,year,venue,authors,institutions,country_codes,cited_by_count,is_oa,oa_status,issn,keywords,block
https://openalex.org/W2061003790,openalex,10.1061/(asce)0733-9437(2007)133:4(380),Satellite-Based Energy Balance for Mapping Evapotranspiration with Internalized Calibration (METRIC)—Model,"Mapping evapotranspiration at high resolution with internalized calibration (METRIC) is a satellite-based image-processing model for calculating evapotranspiration (ET) as a residual of the surface energy balance. METRIC uses as its foundation the pioneering SEBAL energy balance process developed in The Netherlands by Bastiaanssen, where the near-surface temperature gradients are an indexed function of radiometric surface temperature, thereby eliminating the need for absolutely accurate surface temperature and the need for air-temperature measurements. The surface energy balance is internally calibrated using ground-based reference ET to reduce computational biases inherent to remote sensing-based energy balance and to provide congruency with traditional methods for ET. Slope and aspect functions and temperature lapsing are used in applications in mountainous terrain. METRIC algorithms are designed for relatively routine application by trained engineers and other technical professionals who possess a familiarity with energy balance and basic radiation physics. The primary inputs for the model are short-wave and long-wave (thermal) images from a satellite (e.g., Landsat and MODIS), a digital elevation model and ground-based weather data measured within or near the area of interest. ET “maps” (i.e., images) via METRIC provide the means to quantify ET on a field-by-field basis in terms of both the rate and spatial distribution. METRIC has some significant advantages over many traditional applications of satellite-based energy balance in that its calibration is made using reference ET, rather than the evaporative fraction. The use of reference ET for the extrapolation of instantaneous ET from periods of 24h and longer compensates for regional advection effects by not tying the evaporative fraction to net radiation, since ET can exceed daily net radiation in many arid or semi-arid locations. METRIC has some significant advantages over conventional methods of estimating ET from crop coefficient curves in that neither the crop development stages, nor the specific crop type need to be known with METRIC. In addition, energy balance can detect reduced ET caused by water shortage.",2007,Journal of Irrigation and Drainage Engineering,Richard G. Allen; Masahiro Tasumi; Ricardo Trezza,Kimberly-Clark (Canada); Kimberly-Clark (United States); University of Miyazaki,CA;JP;US,1932,False,closed,0733-9437,Remote sensing; Evapotranspiration; Metric (unit); Calibration; Energy balance; Terrain; Satellite; Environmental science; Extrapolation; Elevation (ballistics); Digital elevation model; Field (mathematics); Meteorology; Computer science; Geography; Mathematics; Physics; Geometry; Statistics; Engineering; Aerospace engineering,ETo_Software_Tools
https://openalex.org/W4285590095,openalex,10.1038/s41597-022-01493-1,Version 3 of the Global Aridity Index and Potential Evapotranspiration Database,"Abstract The “Global Aridity Index and Potential Evapotranspiration Database - Version 3” (Global-AI_PET_v3) provides high-resolution (30 arc-seconds) global hydro-climatic data averaged (1970–2000) monthly and yearly, based upon the FAO Penman-Monteith Reference Evapotranspiration (ET 0 ) equation. An overview of the methods used to implement the Penman-Monteith equation geospatially and a technical evaluation of the results is provided. Results were compared for technical validation with weather station data from the FAO “CLIMWAT 2.0 for CROPWAT” ( ET 0 : r 2 = 0 .85; AI: r 2 = 0.90 ) and the U.K. “Climate Research Unit: Time Series v 4.04” ( ET 0 : r 2 = 0 .89; AI: r 2 = 0 .83 ), while showing significant differences to an earlier version of the database. The current version of the Global-AI_PET_v3 supersedes previous versions, showing a higher correlation to real world weather station data. Developed using the generally agreed upon standard methodology for estimation of reference ET 0 , this database and notably, the accompanying source code, provide a robust tool for a variety of scientific applications in an era of rapidly changing climatic conditions.",2022,Scientific Data,Robert J. Zomer; Jianchu Xu; Antonio Trabucco,CMCC Foundation - Euro-Mediterranean Center on Climate Change; Kunming Institute of Botany; World Agroforestry Centre,CN;IT;KE,1159,True,gold,2052-4463,Evapotranspiration; Aridity index; Index (typography); Database; Environmental science; Arid; Meteorology; Geography; Climatology; Computer science; Ecology; World Wide Web,ETo_Software_Tools
https://openalex.org/W2151359685,openalex,10.3390/s7060979,A Coupled Remote Sensing and Simplified Surface Energy Balance Approach to Estimate Actual Evapotranspiration from Irrigated Fields,"Accurate crop performance monitoring and production estimation are critical fortimely assessment of the food balance of several countries in the world. Since 2001, theFamine Early Warning Systems Network (FEWS NET) has been monitoring cropperformance and relative production using satellite-derived data and simulation models inAfrica, Central America, and Afghanistan where ground-based monitoring is limitedbecause of a scarcity of weather stations. The commonly used crop monitoring models arebased on a crop water-balance algorithm with inputs from satellite-derived rainfallestimates. These models are useful to monitor rainfed agriculture, but they are ineffectivefor irrigated areas. This study focused on Afghanistan, where over 80 percent ofagricultural production comes from irrigated lands. We developed and implemented aSimplified Surface Energy Balance (SSEB) model to monitor and assess the performanceof irrigated agriculture in Afghanistan using a combination of 1-km thermal data and 250-m Normalized Difference Vegetation Index (NDVI) data, both from the Moderate Resolution Imaging Spectroradiometer (MODIS) sensor. We estimated seasonal actual evapotranspiration (ETa) over a period of six years (2000-2005) for two major irrigated river basins in Afghanistan, the Kabul and the Helmand, by analyzing up to 19 cloud-free thermal and NDVI images from each year. These seasonal ETa estimates were used as relative indicators of year-to-year production magnitude differences. The temporal water- use pattern of the two irrigated basins was indicative of the cropping patterns specific to each region. Our results were comparable to field reports and to estimates based on watershed-wide crop water-balance model results. For example, both methods found that the 2003 seasonal ETa was the highest of all six years. The method also captured water management scenarios where a unique year-to-year variability was identified in addition to water-use differences between upstream and downstream basins. A major advantage of the energy-balance approach is that it can be used to quantify spatial extent of irrigated fields and their water-use dynamics without reference to source of water as opposed to a water- balance model which requires knowledge of both the magnitude and temporal distribution of rainfall and irrigation applied to fields.",2007,Sensors,G. B. Senay; Michael Budde; J. P. Verdin; Assefa M. Melesse,Florida International University; South Dakota State University; United States Geological Survey; University of Sioux Falls,US,301,True,gold,1424-8220,Evapotranspiration; Environmental science; Moderate-resolution imaging spectroradiometer; Water balance; Normalized Difference Vegetation Index; Energy balance; Hydrology (agriculture); Crop coefficient; Remote sensing; Satellite; Geography; Climate change; Geology,ETo_Software_Tools
https://openalex.org/W3174254304,openalex,10.1016/j.isprsjprs.2021.05.018,Long-term monitoring of evapotranspiration using the SEBAL algorithm and Google Earth Engine cloud computing,,2021,ISPRS Journal of Photogrammetry and Remote Sensing,Leonardo Laipelt; Rafael Henrique Bloedow Kayser; Ayan Santos Fleischmann; Anderson Ruhoff; W.G.M. Bastiaanssen; Tyler Erickson; Forrest Melton,Ames Research Center; California State University System; Google (United States); IHE Delft Institute for Water Education; Universidade Federal do Rio Grande do Sul,BR;NL;US,191,False,closed,0924-2716,Evapotranspiration; Environmental science; Biome; Eddy covariance; Remote sensing; Calibration; Percentile; Sensitivity (control systems); Energy balance; Mean squared error; Land cover; Algorithm; Meteorology; Computer science; Land use; Mathematics; Statistics; Geography; Engineering,ETo_Software_Tools
https://openalex.org/W2116594166,openalex,10.1029/2011wr010482,Surface energy balance and actual evapotranspiration of the transboundary Indus Basin estimated from satellite measurements and the ETLook model,"The surface energy fluxes and related evapotranspiration processes across the Indus Basin were estimated for the hydrological year 2007 using satellite measurements. The new ETLook remote sensing model (version 1) infers information on actual Evaporation (E) and actual Transpiration (T) from combined optical and passive microwave sensors, which can observe the land‐surface even under persistent overcast conditions. A two‐layer Penman–Monteith equation was applied for quantifying soil and canopy evaporation. The novelty of the paper is the computation of E and T across a vast area (116.2 million ha) by using public domain microwave data that can be applied under all weather conditions, and for which no advanced input data are required. The average net radiation for the basin was estimated as being 112 Wm −2 . The basin average sensible, latent and soil heat fluxes were estimated to be 80, 32, and 0 Wm −2 , respectively. The average evapotranspiration (ET) and evaporative fraction were 1.2 mm d −1 and 0.28, respectively. The basin wide ET was 496 ± 16.8 km 3 yr −1 . Monte Carlo analysis have indicated 3.4% error at 95% confidence interval for a dominant land use class. Results compared well with previously conducted soil moisture, lysimeter and Bowen ratio measurements at field scale ( R 2 = 0.70; RMSE = 0.45 mm d −1 ; RE = –11.5% for annual ET). ET results were also compared against earlier remote sensing and modeling studies for various regions and provinces in Pakistan ( R 2 = 0.76; RMSE = 0.29 mmd −1 ; RE = 6.5% for annual ET). The water balance for all irrigated areas together as one total system in Pakistan and India (26.02 million ha) show a total ET value that is congruent with the ET value from the ETLook surface energy balance computations. An unpublished validation of the same ETLook model for 23 jurisdictional areas covering the entire Australian continent showed satisfactory results given the quality of the watershed data and the diverging physiographic and climatic conditions ( R 2 = 0.70; RMSE = 0.31 mmd −1 ; RE = –2.8% for annual ET). Eight day values of latent heat fluxes in Heibei (China) showed a good resemblance ( R 2 = 0.92; RMSE = 0.04 mm d −1 ; RE = 9.5% for annual ET). It is concluded that ETLook is a novel model that can be operationalized further—especially after improving the preprocessing of spaceborne soil moisture data. This preprocessing includes (1) downscaling of topsoil moisture from 25 to 1 km pixels, and (2) translation of topsoil moisture into subsoil moisture values.",2012,Water Resources Research,W.G.M. Bastiaanssen; Muhammad Jehanzeb Masud Cheema; Walter W. Immerzeel; Ivo Miltenburg; H. Pelgrum,Delft University of Technology; University of Agriculture Faisalabad; Utrecht University; eLEAF (Netherlands),NL;PK,218,True,bronze,0043-1397,Evapotranspiration; Environmental science; Latent heat; Lysimeter; Sensible heat; Energy balance; Transpiration; Wind speed; Hydrology (agriculture); Structural basin; Potential evaporation; Atmospheric sciences; Meteorology; Soil water; Soil science; Geography; Geology,ETo_Software_Tools
https://openalex.org/W2085916183,openalex,10.5194/hess-13-1061-2009,Estimation of actual evapotranspiration of Mediterranean perennial crops by means of remote-sensing based surface energy balance models,"Abstract. Actual evapotranspiration from typical Mediterranean crops has been assessed in a Sicilian study area by using surface energy balance (SEB) and soil-water balance models. Both modelling approaches use remotely sensed data to estimate evapotranspiration fluxes in a spatially distributed way. The first approach exploits visible (VIS), near-infrared (NIR) and thermal (TIR) observations to solve the surface energy balance equation whereas the soil-water balance model uses only VIS-NIR data to detect the spatial variability of crop parameters. Considering that the study area is characterized by typical spatially sparse Mediterranean vegetation, i.e. olive, citrus and vineyards, alternating bare soil and canopy, we focused the attention on the main conceptual differences between one-source and two-sources energy balance models. Two different models have been tested: the widely used one-source SEBAL model, where soil and vegetation are considered as the sole source (mostly appropriate in the case of uniform vegetation coverage) and the two-sources TSEB model, where soil and vegetation components of the surface energy balance are treated separately. Actual evapotranspiration estimates by means of the two surface energy balance models have been compared vs. the outputs of the agro-hydrological SWAP model, which was applied in a spatially distributed way to simulate one-dimensional water flow in the soil-plant-atmosphere continuum. Remote sensing data in the VIS and NIR spectral ranges have been used to infer spatially distributed vegetation parameters needed to set up the upper boundary condition of SWAP. Actual evapotranspiration values obtained from the application of the soil water balance model SWAP have been considered as the reference to be used for energy balance models accuracy assessment. Airborne hyperspectral data acquired during a NERC (Natural Environment Research Council, UK) campaign in 2005 have been used. The results of this investigation seem to prove a slightly better agreement between SWAP and TSEB for some fields of the study area. Further investigations are programmed in order to confirm these indications.",2009,Hydrology and earth system sciences,Mario Minacapilli; Carmelo Agnese; F. Blanda; Carmelo Cammalleri; Giuseppe Ciraolo; Guido D’Urso; Massimo Iovino; Dario Pumo; Giuseppe Provenzano; Giovanni Rallo,University of Naples Federico II; University of Palermo,IT,108,True,gold,1027-5606,Evapotranspiration; Energy balance; Environmental science; Water balance; Mediterranean climate; Vegetation (pathology); Hydrology (agriculture); Available energy; Soil science; Remote sensing; Mathematics; Energy (signal processing); Geology; Geography; Ecology,ETo_Software_Tools
https://openalex.org/W4226033442,openalex,10.1016/j.rse.2022.113011,Mapping actual evapotranspiration using Landsat for the conterminous United States: Google Earth Engine implementation and assessment of the SSEBop model,,2022,Remote Sensing of Environment,G. B. Senay; MacKenzie Friedrichs; Charles Morton; Gabriel E.L. Parrish; Matthew Schauer; Kul Khand; Stefanie Kagone; Olena Boiko; Justin Huntington,"Desert Research Institute; North Central Climate Adaptation Science Center; The Graduate Center, CUNY; United States Geological Survey",US,96,False,closed,0034-4257,Evapotranspiration; Environmental science; Remote sensing; Water balance; Eddy covariance; Scale (ratio); Satellite; Land cover; Thematic Mapper; Advanced Spaceborne Thermal Emission and Reflection Radiometer; Cloud cover; Satellite imagery; Hydrology (agriculture); Digital elevation model; Cloud computing; Geology; Geography; Cartography; Land use; Ecosystem; Computer science,ETo_Software_Tools
https://openalex.org/W2604505295,openalex,10.1016/j.isprsjprs.2017.03.022,Performance of five surface energy balance models for estimating daily evapotranspiration in high biomass sorghum,,2017,ISPRS Journal of Photogrammetry and Remote Sensing,Pradeep Wagle; Nishan Bhattarai; Prasanna H. Gowda; Vijaya Gopal Kakani,Grazinglands Research Laboratory; Oklahoma State University; University of Michigan,US,142,True,green,0924-2716,Energy balance; Evapotranspiration; Environmental science; Eddy covariance; Latent heat; Sensible heat; Biomass (ecology); Sorghum; Water balance; Metric (unit); Bowen ratio; Available energy; Calibration; Hydrology (agriculture); Atmospheric sciences; Mathematics; Meteorology; Ecosystem; Statistics; Geography; Agronomy; Forestry; Ecology; Energy (signal processing); Engineering; Geology,ETo_Software_Tools
https://openalex.org/W1992795193,openalex,10.1061/(asce)0733-9437(2002)128:1(1),Decision Support System for Estimating Reference Evapotranspiration,"Evapotranspiration (ET) is a major component of the hydrologic cycle and its accurate estimation is essential for hydrological studies. In the past, various estimation methods have been developed for different climatological data, and the accuracy of these methods varies with climatic conditions. Therefore, a user-friendly decision support system (DSS) was developed for estimation of the reference value, ETo. For given data availability and climatic conditions, the developed model estimates ETo with the best available method out of the nine methods. The ETo estimation methods are based on combination theory, radiation, temperature, and pan evaporation; the model selects the best ETo estimation method based on ASCE rankings. In order to evaluate the DSS, various tests were conducted with different data availability conditions for five climatological stations (Davis, Bellary, Kharagpur, Jagdalpur, and Bombay). The decisions made by the model exactly matched the ASCE rankings. For the three climatic stations Davis, Jagdalpur, and Kharagpur, ETo values were estimated by all applicable methods using the user defined options menu and were compared with the Penman-Monteith ETo estimates, which were taken as the standard. Based on the weighted average standard error of the estimate, the Hargreaves and FAO-24 Blaney-Criddle methods ranked first, respectively, for the Davis and Jagdalpur stations. The 1982 Kimberly-Penman method ranked first for Kharagpur. The DSS model is a user-friendly tool for estimating ETo under different data availability and climatic conditions.",2002,Journal of Irrigation and Drainage Engineering,Biju George; B. R. S. Reddy; N. S. Raghuwanshi; W. W. Wallender,Hydrologic Research Center; Indian Institute of Technology Kharagpur,IN;US,107,False,closed,0733-9437,Evapotranspiration; Pan evaporation; Estimation; Environmental science; Statistics; Computer science; Hydrology (agriculture); Mathematics; Engineering,ETo_Software_Tools
https://openalex.org/W2105822931,openalex,10.1016/j.jhydrol.2006.03.027,Sensitivity of the Penman–Monteith reference evapotranspiration to key climatic variables in the Changjiang (Yangtze River) basin,,2006,Journal of Hydrology,Lebing Gong; Chong‐Yu Xu; Deliang Chen; Sven Halldin; Yongqin David Chen,China Meteorological Administration; Chinese Academy of Sciences; Chinese University of Hong Kong; Nanjing Institute of Geography and Limnology; University of Gothenburg; University of Oslo; Uppsala University,CN;HK;NO;SE,450,False,closed,0022-1694,Evapotranspiration; Environmental science; Wind speed; Shortwave radiation; Penman–Monteith equation; Sunshine duration; Relative humidity; Climatology; Atmospheric sciences; Structural basin; Meteorology; Geography; Radiation; Geology,ETo_Software_Tools
