id,source,doi,title,abstract,year,venue,authors,institutions,country_codes,cited_by_count,is_oa,oa_status,issn,field,keywords,block
2-s2.0-105042678436,scopus,10.1016/j.srs.2026.100454,Benefits of high-resolution satellite evapotranspiration for agro-silvo-pastoral systems in the Sahel,"The Sahel region is recognized as a climate-change hotspot, with significant impacts expected on the water resource availability. Making accurate evapotranspiration (ET) estimation is therefore essential for drought monitoring and effective water management. In this study, moderate and high resolution satellite data from MODIS and Landsat were used to feed the EVASPA ensemble contextual energy-balance model to simulate ET at 1 km and 30m scales, respectively. The objective is to evaluate how spatial resolution affects the representation of surface heterogeneity, a key requirement for contextual approaches and agroforestry systems. Results show that high resolution data provide more accurate ET estimates with reduced uncertainties and more homogeneous responses within land-use classes. Analyses across different ecosystems reveal that certain land-use classes play a key role in representing large scale surface heterogeneity, which is essential for accurate ET estimation. However, other classes primarily benefit from this improved representation. In addition, Landsat products were evaluated to assess their ability to capture fine-scale processes, particularly the transpiration and water acquisition patterns (phreatophyte or not) of different trees species. For these analyses, ET and NDVI provided insights into water distribution and phenological patterns in agroforestery system. Thermal information proves to be a key asset for understanding agroecosystem interactions, especially under water-limited conditions.",2026,Science of Remote Sensing,Farhani N.; Etchanchu J.; Vauclare S.; Goffin B.; Wijmer T.; Olioso A.; Boulet G.; Mwangi S.; Chahinian N.; Gamet P.; Sarrazin E.; Mallick K.; Diene S.M.; Maïnassara I.; Roupsard O.; Demarty J.,CIRAD; CNES Centre National d'Etudes Spatiales; Ecologie des Forêts Méditerranéennes (URFM); Indo French Cell for Water Sciences; Institut de Recherche pour le Développement (IRD) Representation; Institut de Recherche pour le Développement Dakar; Laboratoire HydroSciences Montpellier; Polytechnic School of Thies; Université de Montpellier; Université de Toulouse,FR;IN;NE;SN,0,True,gold,26660172,,Agroecosystem;Contextual;Evapotranspiration;EVASPA;Heterogeneity;High spatial resolution;Sahel,ETo_Software_Tools
2-s2.0-105041917107,scopus,10.1007/s43621-026-03182-0,Effect of data splitting scenarios on machine-learning-driven prediction of broccoli actual evapotranspiration under semi-arid condition,"Actual crop evapotranspiration estimation is needed for development of irrigation schedules to enhance crop yield and water use efficiency. Machine learning (ML) algorithms are sensitive to proportion of training to testing datasets and thus it is essential to assess how data partitioning scenarios influences ML models performance for prediction of variables efficiently. Therefore, in this study, we have developed and assessed nine data partitioning scenarios for predicting Broccoli evapotranspiration (ET<inf>c</inf>) utilizing eight machine learning algorithms. The developed scenarios were 50:50 (training: testing) scenario (S1), 55:45 (S2), 60:40 (S3), 65:35(S4),70:30(S5), 75:25(S6), 80:20(S7), 85:15(S8) and 90:10 (S9). Eight ML algorithms were Random Forest (RF), Linear regression (LR), Decision Tree (DT), Support Vector Machine (SVM), gradient boosting (GB), stochastic gradient boosting (SGD), Adaptive Boosting (AdaBoost) and artificial neural network (ANN). The predicted broccoli ET<inf>c</inf> was compared with the actual broccoli ET<inf>c</inf> obtained using the weighing type field lysimeters available at the Water Technology Center Farm, ICAR-IARI, New Delhi. Additionally, SHAP (SHapley Additive exPlanations) analysis was done to assess the impacts of predictive variables on the Broccoli ET<inf>c</inf>. Results revealed that the RF and LR algorithms found best for predicting daily broccoli actual ET<inf>c</inf> during training and testing phases. The partitioning of the dataset has influenced the algorithms performance. The best results were found when training and testing dataset were equal (scenario S1). Under other scenarios, the performance of the developed models had reduced during both training and testing phases. The RF algorithm was best during training phase and yielded value of coefficient of determination (R<sup>2</sup>), mean squared error (MSE), root mean squared error (RMSE), mean absolute error (MAE), and mean absolute percentage error (MAPE) as 0.956, 0.038, 0.195, 0.143, and 6.4%, respectively. While, the LR found best during testing phase and the values of R<sup>2</sup>, MSE, RMSE, MAE, and MAPE were 0.77, 0.375, 0.613, 0.514, and 21.8%. The SHAP analysis revealed that the sunshine hour (SSH) was the most influencing input variable affecting broccoli ET<inf>c</inf> prediction for all the developed models. The developed models should be tested in other climatic conditions to check their suitability in predicting the broccoli ET<inf>c</inf>. The findings of the current study could be useful for planning and designing of efficient irrigation system.",2026,Discover Sustainability,Rajput J.; Singh M.; Lal K.; Khanna M.; Sarangi A.; Mukherjee J.; Singh S.; Sahoo P.K.; Gupta A.; Kumari A.; Dimple ; Rana L.,"Dr. Rajendra Prasad Central Agricultural University; ICAR - Central Institute of Agricultural Engineering, Bhopal; ICAR - Indian Agricultural Research Institute, New Delhi; ICAR - Research Complex for Eastern Region, Patna; Sri Karan Narendra Agriculture University, Jobner",IN,1,True,gold,26629984,,Data partitioning;Mean absolute error;Random forest;Reference evapotranspiration;Weighing lysimeter,ETo_Software_Tools
2-s2.0-105041263298,scopus,10.1186/s13717-026-00707-3,"Optimization, applicability, and mechanisms of potential evapotranspiration models for meadow wetland ecosystems in semi-arid region","Background: Arid and semi-arid regions cover more than 30% of the Earth’s land area, and play an increasingly important role in the global water cycle. Accurate estimation of potential evapotranspiration (PET) is crucial for understanding regional water cycle patterns, developing hydrological models, and assessing water resources. Results: Based on long-term (2013–2022) in-situ meteorological and flux observations from the meadow wetland ecosystem of the Horqin Sandy Land in northern China, this study systematically refined various PET models and analyzed their applicability for meadow wetland ecosystems in semi-arid regions. The results indicated that PET ranged from 0.02 to 6.93 mm/d, averaging 3.25 mm/d during the growing season (2013–2022). Net radiation (Rn), air temperature (Ta), and vapor pressure deficit (VPD) were the dominant drivers of PET, with significant enhancements observed under Rn > 150 W/m<sup>2</sup>, Ta > 20 °C, and 1 < VPD < 2.3 kPa. The lag time of PET in response to Rn, Ta, and VPD was shorter in spring and autumn than in summer, averaging 0.5 h, − 2 h, and − 2.5 h, respectively. Conclusion: The model applicability ranked as: physically based models > radiation-based models > temperature-based models > aerodynamic-based models. Among the physical models, the Penman–Monteith model achieved the highest accuracy. This study can provide theoretical basis and technical support for ecological restoration, water resource management and water cycle simulation in arid and semi-arid regions.",2026,Ecological Processes,Bao Y.; Liu T.; Duan L.; Liu X.; Liu X.; Wu X.; Zhang S.; Singh V.P.,Department of Biological and Agricultural Engineering; Inner Mongolia Key Laboratory of Ecohydrology and High Efficient Utilization of Water Resources; Neimenggu Agricultural University; Northwest Institute of Eco-Environment and Resources; Research Center for Eco-Environmental Sciences Chinese Academy of Sciences,CN;US,0,True,gold,21921709,,Machine learning;Monte Carlo simulation;Potential evapotranspiration;Semi-arid region,ETo_Software_Tools
2-s2.0-105039852523,scopus,10.1038/s41598-026-43887-w,Estimation of onion crop evapotranspiration and crop coefficients using weighing lysimeters and machine learning models in semi-arid region,"Water scarcity is a significant challenge in Iran’s agricultural sector, particularly for onion (Allium cepa L.) cultivation, which is a vital crop for the country’s economy and diet. However, there is a lack of standardized data on onion evapotranspiration (ET<inf>c</inf>) in semi-arid conditions, making precise irrigation management difficult. To address this gap, a two-year field experiment was conducted at the Kooshkak Agricultural Research Station, Shiraz University, Iran to measure ET<inf>c</inf> using digital weighing lysimeters based on the water balance method and to develop predictive models using machine learning algorithms. The ET<inf>c</inf> of onion in the first and second years were 447.1 mm and 432.2 mm, respectively. Soil evaporation accounted for 36.6% and 32.8% of the total ET<inf>c</inf> in the first and second years, respectively. The average of single crop coefficient values for the initial, mid, and late growth stages across both years were 0.41, 0.68, and 0.51, respectively. Additionally, the basal crop coefficient values for the initial, mid, and late growth stages were 0.10, 0.51, and 0.37, respectively. To estimate using easily accessible parameters, five machine learning algorithms were developed: Artificial Neural Network, Support Vector Machine, Decision Tree, Random Forest, and Lasso Regression. These models utilized meteorological variables (temperature, relative humidity, wind speed, net radiation) and crop parameters (leaf area index and plant height) as input features and measured was utilized as target outputs for calibrating and validating the model. Among the algorithms, the RF and DT achieved the highest predictive accuracy (R<sup>2</sup> = 0.98, NRMSE = 0.04), followed by ANN (R<sup>2</sup> = 0.97, NRMSE = 0.07), SVR (R<sup>2</sup> = 0.97, NRMSE = 0.08), and LASSO (R<sup>2</sup> = 0.85, NRMSE = 0.18). Using lysimeter measurements as reliable reference data to evaluate machine-learning models provides a dependable framework for optimizing irrigation scheduling and enhancing water-use efficiency in onion cultivation under semi-arid conditions.",2026,Scientific Reports,Shirazi S.H.M.; Razzaghi F.; Sepaskhah A.R.,Shiraz University,IR,0,True,gold,20452322,,Crop coefficient;Decision Tree;Irrigation optimization;Random Forest;Semi-arid agriculture,ETo_Software_Tools
2-s2.0-105037506948,scopus,10.1038/s43247-026-03372-8,Weakening vegetation control on global terrestrial evapotranspiration in a warmer world,"Widespread vegetation greening enhances terrestrial evapotranspiration (ET) by increasing evaporative surfaces, yet their dynamics and the underlying ecological mechanisms under projected warming scenarios remain unclear. Here, we quantify changes in the sensitivity of ET to growing-season averaged leaf area index (∂ET/∂LAI) through 2100 across emission scenarios by integrating satellite retrievals and CMIP6 Earth system model simulations within a machine-learning framework. Results show that the current positive ∂ET/∂LAI (71.53 ± 12.01 mm m<sup>2</sup>m<sup>-2</sup>) is projected to weaken over about 80% of global land, driven by a declining vegetation control on transpiration, particularly in warm regions and under higher‑emission scenarios (−0.121 ± 0.026 and −1.247 ± 0.075 mm m<sup>2</sup>m<sup>-2</sup> decade<sup>-1</sup> under SSP1-2.6 and SSP5-8.5, respectively). Conductance-based diagnostics indicate that the suppressing effect of reduction in stomatal conductance increasingly outweighs the positive CO<inf>2</inf> fertilization effect with the elevated CO<inf>2</inf> concentration. Consequently, the LAI-driven evaporative cooling is expected to diminish under future conditions for the benefit of enhanced water conservation.",2026,Communications Earth and Environment,Li H.; Wang W.; Chen Z.; Li X.; Mura M.; Teuling A.J.; Cescatti A.; Forzieri G.,European Commission Joint Research Centre; Hohai University; Ltd. Shanghai; Università degli Studi di Firenze; Wageningen University & Research,BE;CN;IT;NL,2,True,gold,26624435,,,ETo_Software_Tools
2-s2.0-105035971671,scopus,10.1007/s00402-026-06308-1,Time-zero stability of uncemented standard versus intermediate revision stems after extended trochanteric osteotomy (ETO): a biomechanical study,"Introduction: This time-zero biomechanical study investigates femoral stem stability after extended trochanteric osteotomy (ETO) without fragment refixation, representing a worst-case scenario. ETO is used in complex femoral revisions to improve exposure while preserving soft tissue and neurovascular structures. In the setting of a short ETO, surgeons may choose between standard (STD) and intermediate revision (REV) stems, although their primary stability remains unclear. Clinically, STD are still used after short ETO with low rates of aseptic loosening, aiming for proximal bone loading to reduce stress shielding. We therefore hypothesized that STD would demonstrate non-inferior axial and torsional stability compared with REV in a short open ETO model. Materials and methods: A biomechanical model using SYNBONE<sup>®</sup> femurs and uncemented, collared, fully coated triple-tapered STD and REV 135° CCD was established. A standardized 60 mm ETO (vastus ridge to distal end of ETO) was performed and left unrepaired to simulate a worst-case scenario. Four groups (n = 6 each) were tested: (1) STD and (2) REV under axial loading (500 cycles at 20° adduction up to 500 N at 1 Hz, then static loading to failure), and (3) STD and (4) REV under torsional loading (500 cycles up to 10Nm internal rotation at 1 Hz, then failure testing). Axial stiffness (N/mm), torsional stiffness (Nm/deg), and failure load/torque were assessed. Results: REV showed higher axial stiffness (297.5 ± 39.7 N/mm) than STD (245.9 ± 33.2 N/mm, p = 0.035) and greater axial failure load (1228.1 ± 86.8 vs. 1002.5 ± 114.1 N, p = 0.003). Torsional stiffness and peak torque were comparable between groups. Axial failure with REV occurred at the distal stem tip, while STD fractured through the ETO. Torsional failure produced spiral fractures from the distal ETO in both groups. Conclusions: Under time-zero worst-case conditions without ETO refixation, the REV demonstrated higher axial stability, while torsional stability was comparable. The STD provided sufficient primary stability after short open ETO, supporting its potential use when revision stem implantation is not required.",2026,Archives of Orthopaedic and Trauma Surgery,Hax J.; Zderic I.; Gueorguiev B.; Kalbas Y.; Leunig M.; Pape H.C.; Rüdiger H.A.,"AO Foundation; Schulthess Klinik; UniversitatsSpital Zurich; Universität Zürich, Medizinische Fakultät",CH,1,True,gold,09368051,,ETO;Extended trochanteric osteotomy;Hip;Revision arthroplasty;Revision stem;Standard stem,ETo_Software_Tools
2-s2.0-105034662597,scopus,10.1038/s41598-026-39756-1,Modeling evapotranspiration in diverse climatic zones of Pakistan using Surface Energy Balance Algorithm for Land (SEBAL) through geospatial technologies,"Evapotranspiration (ET) is a key driver of the hydrological and energy cycles, influences directly the vegetation health, surface temperature regulation and the availability of water. Pakistan is a rapidly urbanized and climate vulnerable country, where, it is crucial to understand ET dynamics for sustainable land and water resource management. Landsat 7, 8 and 9 imageries and meteorological data from the Pakistan Meteorological Department were integrated using the Surface Energy Balance Algorithm for Land (SEBAL) in ERDAS Imagine to estimate actual evapotranspiration (ET). Key parameters, including Land Surface Temperature (LST), Normalized Difference Vegetation Index (NDVI), Albedo, and Net radiation, were derived and incorporated to assess spatiotemporal ET variations across Pakistan’s major climatic zones. The spatiotemporal analysis revealed a consistent rise in LST over the years 1989, 1999, 2009 and 2019, accompanied by a decline in NDVI after 2009, decreasing surface albedo, and fluctuating net radiation, indicating intensified urbanization, surface degradation, and altered energy dynamics across Pakistan’s climatic zones. Estimated ET values ranged from 4.67 to 7.33 mm/day, with a pronounced decline in the very high (6.94–7.33 mm/day), high (6.55–6.93 mm/day), and moderate (6.16–6.54 mm/day) ET zones, alongside a substantial expansion of the low (5.77–6.15 mm/day) and very low (4.67–5.76 mm/day) zones by 2019, highlighting extensive vegetation degradation, accelerated urban expansion, and increasing climatic stress across Pakistan’s diverse landscapes. The findings demonstrate the strong applicability and reliability of the SEBAL model for long-term environmental monitoring in data-scarce regions, highlighting its potential not only to guide sustainable urban development and strengthen climate resilience, but also to support integrated land–water management, inform adaptive policy frameworks, and advance scientific understanding of land–atmosphere interactions in the context of Pakistan’s evolving climatic and urban challenges.",2026,Scientific Reports,Islam A.; Ali S.M.; Alamery E.R.; Faqeih K.Y.; Aldhobaihy M.A.; Somayah Moshrif Alamri ; Ali I.,"International Islamic University, Islamabad; Ministry of Planning Development & Special Initiatives; Princess Nourah Bint Abdulrahman University",PK;SA,0,True,gold,20452322,,Albedo;Climatic zones;Evapotranspiration;NDVI;Net radiation;Pakistan;Remote sensing;SEBAL,ETo_Software_Tools
2-s2.0-105034456312,scopus,10.1038/s41598-026-40225-y,Trend analysis of dam inflow data using the trend accuracy index and the potential-evapotranspiration correction factor,"Climate change intensifies rainfall and runoff variability, complicating long-term dam inflow simulation. Long-term runoff models often optimize parameters using error-based metrics such as NSE or RMSE, which reduce deviations but may fail to reproduce long-term trends. We optimize the four-tank model using the trend accuracy index (TAI) and the potential-evapotranspiration correction factor (PET-CF) to better capture inflow trends. We validate the approach by assessing trends in simulated inflows. We evaluate monthly, seasonal, and annual rainfall trends at 101 stations, examine their consistency with inflow trends, and apply K-means + + clustering. Using rainfall in the Nakdong river basin and inflow at Hapcheon Dam, we conduct clustering and trend analyses for 2000–2019 and two future periods (2021–2050, 2051–2100) under SSP2-4.5 and SSP3-7.0. Three clusters capture spatial differences in rainfall linked to station location and elevation. Across time scales, rainfall and inflow trends are not consistently aligned in either the historical or future periods. In dam inflow simulation, TAI + PET-CF achieves the highest concordance with observed inflow trends (76.4%), outperforming NSE-based calibration. Combined with rainfall trend and clustering information, the framework can support efficient water-resources management.",2026,Scientific Reports,Wang W.J.; Kim H.S.,Gyeonggi Research Institute; Inha University,KR,0,True,gold,20452322,,Cluster analysis;Homogeneity test;Modified Mann−Kendall test;Tank model;Trend accuracy index,ETo_Software_Tools
2-s2.0-105033423245,scopus,10.1186/s13717-026-00688-3,"A review of satellite-derived terrestrial evapotranspiration: theories, methods and products","Accurately estimating terrestrial evapotranspiration (ET), the second-largest hydrologic flux in the terrestrial water cycle, is vital for understanding global water and carbon exchanges. It is difficult to measure and estimate terrestrial ET at regional and global scales. Satellites have provided us an effective tool to estimate regional and global terrestrial ET in recent decades. In this article, we provide a comprehensive review of the basic theoretical foundations, methods and products of satellite-derived terrestrial ET. The basic theoretical foundations for estimating terrestrial ET are the Monin–Obukhov similarity theory (MOST) and other budding theories (e.g., Maximum entropy production theory, and generalized Hamilton theory). The six major categories of satellite-derived terrestrial ET methods (simple statistical methods, thermal infrared (TIR)-based surface energy balance methods, spatial contextual methods, biometeorological ET methods, integrated ET methods, and other ET methods) have made great progress in parameterization of the models, but each method has its merits and limitations. Currently, these methods provide a variety of satellite-derived terrestrial ET products (MOD16, GLASS, GLEAM, FLUXCOM, BESS, PML_V2, ETMonitor, METRIC, Hi-GLASS, SSEBop, OpenET and ECOSTRESS). However, an intercomparison of most of these products revealed that no single satellite-derived terrestrial ET product provides the most accurate terrestrial ET estimation across all plant functional types. Further advances in satellite-derived terrestrial ET will highlight the development of novel satellite-based ET theories for heterogeneous underlying surfaces, advanced ET models that integrate visible and near-infrared (VNIR), TIR and microwave satellite data, and adaptive high-accuracy satellite ET products for user requirements. This article contributes to the understanding of the ET process and satellite-derived terrestrial ET estimation, potentially aiding in the assessment of regional and global water resource variability.",2026,Ecological Processes,Yao Y.; Chen J.; Fisher J.B.; Shao C.; Liu Y.,Beijing Normal University; Chapman University; Chinese Academy of Agricultural Sciences; Michigan State University; Nanjing Institute of Geography and Limnology Chinese Academy of Sciences,CN;US,5,True,gold,21921709,,Eddy covariance;Evapotranspiration;MOST;Satellite ET methods;Satellite ET products,ETo_Software_Tools
2-s2.0-105030527646,scopus,10.1038/s41598-026-38365-2,Application of time-lagged satellite image-based crop coefficients for estimating actual evapotranspiration through FAO-56 method,"Correct estimation of actual evapotranspiration (AET) at the farm and watershed levels is an important step towards making proper water resources management decisions. However, accessing reliable AET values remains a major challenge, especially at the watershed level. The present work examined the possibility of using time-lagged crop coefficients (Kc) extracted from MODIS satellite images (April to October 2009) for estimation of daily AET rates in the corresponding months of 2019 by the FAO-56 method in Neishaboor watershed, Iran. In order to evaluate the results, AET values calculated with the SEBAL (surface energy balance algorithm for land) algorithm in 2019 were used as benchmarks. According to the results, average AET estimation error in the 10 studied subbasins ranged between 0.53 and 1.47 mm.day<sup>− 1</sup>. Mean error rates in the mentioned months and for [0–2), [2–4), [4–6) and ≥ 6 mm intervals were 0.71, 0.68, 0.73 and 0.64 mm.day<sup>− 1</sup>, respectively. Comparison of the results and review of the literature showed that when the current AET values are not available, using time-lagged (in this study, 10 years ago) satellite image-based Kc values in the form of FAO-56 method will be useful in making proper management decisions at the watershed level. By the proposed method, compared to the other surface energy balance algorithms, AET estimation is facilitated through reducing the computational steps. Accuracy of the results, however, is highly dependent on land use changes over the pertinent time period, which should be carefully monitored in each region.",2026,Scientific Reports,Moazenzadeh R.,Shahrood University of Technology,IR,0,True,gold,20452322,,AET;SEBAL;Time-lagged satellite image-based kc;Watershed,ETo_Software_Tools
