eid,doi,title,creator,author_names,publicationName,coverDate,description,authkeywords,citedby_count,affilname,affiliation_city,search_tier,year
2-s2.0-105036531731,10.1038/s41598-026-43284-3,Spatial and temporal evolution and interaction of soil erosion intensity and influencing factors in Wenzhou City from 2000 to 2023,He H.,"He, Hao",Scientific Reports,2026-12-01,"Soil erosion constitutes a critical global environmental issue, which is particularly pressing in rapidly urbanizing coastal hilly regions where natural and anthropogenic pressures are intensely intertwined. This study takes Wenzhou City, a typical coastal area in southeastern China, as the research object. Based on multi-source remote sensing and meteorological data from 2000 to 2023, we comprehensively applied the InVEST model to assess soil erosion intensity. This was combined with hotspot analysis, Pearson correlation, and the interpretable machine learning method (XGBoost-SHAP) to quantify its spatio-temporal evolution patterns and decipher complex factor interactions. The main conclusions are as follows: (1) The erosion intensity showed phased temporal changes, transitioning from slight fluctuations before 2010 to continuous mitigation thereafter. The combined area of slight and light erosion consistently accounted for over 99% of the total, while the high-intensity erosion area drastically decreased from 27.91 km<sup>2</sup> to 2.61 km<sup>2</sup>. (2) Spatially, a stable pattern of “slight erosion in the west, light erosion in the east” was observed, with significant clustering characteristics. Hotspots were concentrated in the hilly areas of the northeast, central, and southern parts, whereas cold spots were stably distributed in the western plains. (3) The interaction between slope gradient and precipitation was the core natural driving force, with correlation coefficients of 0.52–0.54 and 0.17–0.25, respectively. In contrast, soil moisture exhibited a significant and increasingly strong negative regulatory effect, with its importance surpassing that of land use type after 2020. The synergistic variation between evapotranspiration and temperature indirectly regulated soil erosion intensity.",Interaction of influencing factors | SHAP analysis | Soil erosion | Spatio-temporal evolution | Wenzhou City,0,Zhejiang Normal University,Jinhua,Software_DataFusion,2026
2-s2.0-105029123298,10.1038/s41598-025-33897-5,Effects of environmental factors on arsenic accumulation in rice under field conditions using a Bayesian state space model,Ishito K.,"Ishito, Kochi;Akahane, Ikuko;Kishi, Shigeki;Baba, Koji;Yamaguchi, Noriko;Ono, Keisuke;Nakamura, Ken;Ishikawa, Satoru",Scientific Reports,2026-12-01,"Rice (Oryza sativa L.) is a major dietary source of arsenic (As) for humans. Understanding the mechanisms of As accumulation in rice is essential for mitigating human exposure. However, the effects of environmental factors on As accumulation in rice have been insufficiently quantified under field conditions. To address these issues, we modeled temporal dynamics of As accumulation in rice plants and grains using a Bayesian state–space model (SSM). In this SSM, As concentrations in flag leaves and rice grains were treated as response variables, whereas four environmental factors, i.e., number of flooding days, temperature, crop evapotranspiration and precipitation, served as explanatory variables. The nonlinear effects of physiological factors were also incorporated into the SSM. The results indicated that among the four environmental factors, flooding days exerted the greatest positive effect on As accumulation in rice plants, with the effect peaking 5–10 days after heading. High temperatures and increased crop evapotranspiration promoted As accumulation, whereas increased precipitation reduced As accumulation. This work is among the first studies to quantify the effects of environmental factors on As accumulation in rice under field conditions, and the findings contribute to the development of region-specific cultivation guidelines for mitigating As exposure through rice.",Arsenic | Bayesian statistics | Rice | State–space model | Time series analysis,0,"National Agriculture and Food Research Organization, NARO;Institute for Agro-Environmental Sciences, NARO;Research Center for Agricultural Information Technology, NARO",Tsukuba;Tsukuba;Tsukuba,Software_DataFusion,2026
2-s2.0-105029092731,10.1007/s43621-025-02562-2,Stochastic optimization and ensemble learning towards robust irrigation advisory to enhance water productivity under a changing climate,Singha C.,"Singha, Chiranjit;Sahoo, Satiprasad;Govind, Ajit",Discover Sustainability,2026-12-01,"This study investigates irrigation suitability patterns across Morocco to align with the nation’s irrigation policy reforms promoting climate-smart, water-saving, and resilience-based agricultural practices. A novel hybrid modeling framework integrating physics-inspired metaheuristic algorithms with ensemble machine learning (ML) was developed to improve predictive accuracy and guide efficient irrigation planning. A novel framework integrating physics-inspired metaheuristic optimization with ensemble ML was developed to enhance predictive performance and guide precision irrigation planning. eXtreme Gradient Boosting (XGB) was optimized using four metaheuristic algorithms Quantum-Behaved Avian Navigation Optimizer (QANO), Photon Search Algorithm (PSA), Nuclear Reaction Optimization (NRO), and Kepler Optimization Algorithm (KOA), demonstrating superior accuracy over conventional models. The irrigation suitability models for drip, flood, and sprinkler systems achieved AUC values above 90%. Spatial variability and reliability were analyzed using the Coefficient of Variation (CV), identifying uncertainty zones under both historical (1960–2000) and projected climate scenarios (SSP2-4.5 and SSP5-8.5, 2015–2030) from CMIP6 ensemble data. Explainable AI (XAI) through SHAP analysis revealed actual evapotranspiration (AET), temperature extremes, vapor pressure deficit (VPD), soil moisture, and elevation as dominant factors. The findings demonstrate the potential of climate-smart irrigation planning, precision water management, and adaptive modeling approaches to minimize water use, enhance agricultural resilience, and strengthen Morocco’s transition toward sustainable and resource-efficient agriculture. Despite high model performance, future work should integrate finer-scale soil and socio-economic data to enhance local applicability and policy relevance.",Actual evapotranspiration | Irrigation suitability | Machine learning | Precision agriculture | SHAP,0,International Center for Agricultural Research in the Dry Areas Syria;Prajukti Research Private Limited,Beirut;Baruipur,Software_DataFusion,2026
2-s2.0-105036357176,10.1016/j.ress.2026.112673,Robust calibration with stochastic emulators: hydrological model parameter estimation under uncertain rainfall conditions,Radišić K.,"Radišić, Katarina;Lauvernet, Claire;Vidard, Arthur",Reliability Engineering and System Safety,2026-11-01,"Traditional calibration methods in hydrological models result in parameter values that can compensate for aleatory uncertainties in model forcings (such as rainfall, temperature, evapotranspiration, or pesticide application dates). Ignoring aleatory uncertainty can lead to subsequent model simulations being less reliable for taking operational decisions or predicting hazardous events (e.g., peaks of water pollution or floods). Robust calibration can better handle these uncertainties, but usually requires extensive model simulations, making it impractical for physically based environmental models. To overcome these issues, we use a new metamodeling approach using stochastic emulation. This method is non-intrusive, meaning it does not need a predefined structure for the forcing space. Once validated, the stochastic emulator is used to evaluate different robust estimators at low cost, allowing for the selection of the most suitable one for the specific problem. We demonstrate this approach using the PESHMELBA hydrological model for pesticide transfer. We construct and validate the stochastic emulator, and compare robust estimators to traditional calibration. Results show that robust calibration enhances the model’s reliability under rainfall uncertainty. This methodology can be applied to any model and forcing uncertainty, making it relevant for other applications in complex technological systems, or environmental models where aleatory uncertainties are inherent.",Aleatory uncertainty | Forcing error | Hydrology | Polynomial chaos expansion | Robust calibration | Stochastic metamodel,0,INRAE;Université Grenoble Alpes,Paris;Saint Martin d'Heres,Software_DataFusion,2026
2-s2.0-105034620832,10.1016/j.still.2026.107196,Integrated modeling of water‑heat‑carbon‑nitrogen dynamics and crop growth in maize systems with mulch irrigation using CoupModel,Wang C.,"Wang, Chunyu;Wang, Yuexin;Li, Donghao;Shi, Xinjie;Li, Sien;Wu, Mousong",Soil and Tillage Research,2026-09-01,"Quantifying the synergistic interactions among water, heat, carbon, and nitrogen dynamics with crop growth in plastic-mulched maize systems is crucial for sustainable agriculture in arid areas. However, this remains a major gap in current modeling capabilities. Using multi-source field data (2019–2021) collected from drip irrigation under mulch (DM) and border irrigation under mulch (BM) in Northwest China, we employed the CoupModel to simulate these coupled processes. Sensitivity analysis identified 23 key sensitive parameters from 304 candidates. The model performed well in simulating soil water content, soil water storage, soil evaporation, plant transpiration, soil temperature, latent heat flux, sensible heat flux, gross primary production, net ecosystem exchange, ecosystem respiration, N<inf>2</inf>O flux and leaf area index. Over the following 20 years, DM maintained relatively stable interannual variations in evapotranspiration (ET) and irrigation water requirement (ET−P), while BM exhibited irregular ET fluctuations and increasing ET−P, suggesting greater water scarcity risks. Under both irrigation methods, photosynthesis and respiration of maize fields will decrease, while N₂O emissions will increase relative to 2025 levels. In the extreme heat and drought year of 2093 compared with 2025, the DM showed larger relative reductions in ET (−17.25%) and gross primary production (−13.38%) than BM (−8.90% and −5.72%, respectively). In addition, water use efficiency of maize fields will improve, increasing by 4.59% under DM and 3.49% under BM relative to 2025. These results demonstrate the robustness and predictive capability of the CoupModel in simulating complex agroecosystem dynamics, thus providing a reliable tool for supporting agricultural management decisions.",CoupModel application | Future climate scenarios | Multi-source measured data | N₂O flux,0,Nanjing University;China Agricultural University;Henan Agricultural University;National Field Scientific Observation and Research Station on Efficient Water Use of Oasis Agriculture in Wuwei of Gansu Province,Nanjing;Beijing;Zhengzhou;Wuwei,Software_DataFusion,2026
2-s2.0-105036132851,10.1016/j.jafrearsci.2026.106169,Terrestrial water storage dynamics and water balance closure in the Wabi-Shebelle basin: A multi-satellite constraint approach (2002-2023),Koji A.K.,"Koji, Abdisa Kawo;Elemo, Abdulkadir Gemachu;Feto, Jeilan Hussein;Chala, Abebe Adugna",Journal of African Earth Sciences,2026-08-01,"Understanding terrestrial water storage (TWS) dynamics and water balance closure remains challenging in data-sparse transboundary basins. This study provides a multi-decadal (2002–2023) assessment of hydrological fluxes in the Wabi-Shebelle Basin (∼285,000 km<sup>2</sup>) using integrated satellite observations, including GRACE-derived TWS (JPL and GFZ), CHIRPS precipitation, and GLDAS evapotranspiration. Both GRACE solutions show significant increasing TWS trends of 0.390 cm yr<sup>−1</sup> (JPL) and 0.337 cm yr<sup>−1</sup> (GFZ) (p < 0.001). Bootstrap-based uncertainty analysis yields wider and more realistic 95% confidence intervals, with an ensemble mean trend of 0.363 ± 0.027 cm yr<sup>−1</sup>, corresponding to a cumulative storage increase of ∼22.4 ± 1.7 km<sup>3</sup>. This increase occurs despite a non-significant precipitation trend (5.90 mm yr<sup>−1</sup>; 95% CI: [−1.517, 13.322]; p = 0.113), indicating decoupling between meteorological forcing and storage response. Water balance analysis yields a residual of 14.9 mm yr<sup>−1</sup> (∼3.3% of mean annual precipitation). A +10% evapotranspiration sensitivity test reverses the residual to −25.4 mm yr<sup>−1</sup>, demonstrating strong sensitivity of closure estimates to evapotranspiration uncertainty. The Monte Carlo credible interval (−9.4 to 39.2 mm yr<sup>−1</sup>) indicates that water balance closure cannot be rejected given current uncertainties. In contrast, GLDAS runoff (0.025 mm yr<sup>−1</sup>) is underestimated by a factor of ∼1460 relative to expected values (∼36.6 mm yr<sup>−1</sup>), revealing a fundamental structural limitation. These results highlight the critical role of satellite gravimetry in constraining basin-scale water budgets and identifying model deficiencies, with important implications for water resource management in data-limited regions.",GRACE | Precipitation anomalies | Terrestrial water storage | TWSC | Uncertainty quantification | Water balance closure,0,Madda Walabu University,Robe,Software_DataFusion,2026
2-s2.0-105034697518,10.1016/j.atech.2026.101891,Deep learning fusion modeling of reference evapotranspiration with multi-source remote sensing data through addressing noise impacts,Sadeghzadeh M.,"Sadeghzadeh, Mostafa;Karimi, Sepideh;Kim, Sungwon;Shiri, Jalal;Chung, Il Moon",Smart Agricultural Technology,2026-08-01,"When using satellite-based data for ET<inf>o</inf> estimations, fusion techniques might improve the accuracy of modeling performance by integrating multiple source predictors and reducing uncertainty. However, most of the existing studies have compared the fusion-based estimations with standalone-source-based outputs (where data from a single source is used for ET<inf>o</inf> estimation). Nevertheless, there is still an opportunity to evaluate the fusion-based estimation of ET<inf>o</inf> values when different multi-source data are used in the simulation procedure, which has not been addressed yet. Furthermore, the performance of fusion-based models under noisy input conditions, as well as the impact of each input variable on simulating ET<inf>o</inf> using these methods, remains unassessed. The present study aimed at developing a deep learning-based fusion method for integrating the satellite-based high-resolution data from different sources, namely MODIS, ERA5, and CHIRPS, through a convolutional neural network (CNN) fusion method. Data from two humid and arid locations were utilized for assessing the suggested methodology. A comparison was made between CNN-based fusion with other pixel-level fusion methods (Weighted Average, Principal Component Analysis, Kalman Filter, and Autoencoder). The capabilities of the fusion methods were examined through coupling with the random forest (RF) model for estimating daily ET<inf>o</inf> values. All the applied models were evaluated under clean- and noisy-data conditions through importing Gaussian noise to the predictors. The capability and stability of the models were evaluated using statistical indices as well as the residual and sensitivity analyses. SHAP theory was used for detecting the most influential parameters on the simulation procedure. The results revealed that the RF model coupled with the CNN-fusion method outperformed the rest of the models from both performance accuracy and model stability viewpoints under clean and noisy data conditions. Specifically, for clean data, the RF-CNN model provided R2 values of 0.990 and 0.997, and RMSE values of 0.177 mm d-1 and 0.092 mm d-1 for the humid and arid regions, respectively, which were further validated using Monte-Carlo analysis.",Deep learning | Multisource data fusion | Reference evapotranspiration | Remote sensing,1,University of Tabriz;Korea Institute of Civil Engineering and Building Technology (KICT);Dongyang University,Tabriz;Goyang;Yeongju,Software_DataFusion,2026
2-s2.0-105036201553,10.1016/j.jhydrol.2026.135519,Integrating GNSS and GRACE/GRACE-FO with GCV joint inversion for improved terrestrial water storage estimation in California,Chen P.,"Chen, Peinan;Qu, Wei;Tang, Xingyou;Li, Jiuyuan;Zhang, Haopeng",Journal of Hydrology,2026-07-01,"The integration of Global Navigation Satellite System (GNSS) and Gravity Recovery and Climate Experiment (GRACE)/ GRACE Follow-on (GFO) data for studying terrestrial water storage (TWS) variations helps overcome the limitations of each dataset in hydrological signal extraction, thereby providing a robust foundation for sustainable water management, extreme hydrological event warning, and climate change adaptation. In this study, a joint inversion model based on Akaike’s Bayesian Information Criterion (ABIC) and Generalized Cross-Validation (GCV) was applied to estimate TWS changes in California using integrated GNSS and GRACE/GFO data. We systematically compared the spatiotemporal characteristics of results from different joint inversion strategies, validated their performance through closed-loop simulation experiments and multi-source hydro-meteorological data, and quantitatively evaluated the combined effects of precipitation, evapotranspiration, and runoff on TWS changes. The results showed that the joint inversion approach significantly outperformed independent inversion methods. The GCV-based joint inversion model achieved better performance than the ABIC-based approach, as it assigned a higher relative weight to the more accurate GNSS data in California. Additional experiments conducted in Iowa further confirmed the superiority of the GCV model, demonstrating its ability to prioritize data sources with smaller errors during weight allocation. Moreover, the joint inversion results were more consistent with Precipitation–Evapotranspiration–Runoff estimates than the independent inversion results, reducing the root mean square error by 7.7%–17.9%. The comprehensive impact analysis indicated that runoff is the most direct indicator of TWS changes in California, and precipitation remains the dominant contributing factor.",California | Generalized cross-validation (GCV) | GNSS | GRACE/GRACE-FO virtual stations | Joint inversion | Terrestrial water storage (TWS) changes,0,Ministry of Natural Resources of the People's Republic of China;Chang'an University,Beijing;Xi'an,Software_DataFusion,2026
2-s2.0-105035250582,10.1016/j.jhydrol.2026.135462,Canopy resistance-based modeling of maize evapotranspiration in Heilongjiang Province: a multi-site assessment integrating Sentinel-2 data and ground observations,Wang B.,"Wang, Biyu;Yan, Haofang;Zhang, Jianyun;Wang, Guoqing;Zhang, Desheng;Zhang, Chuan;Wang, Xuanxuan;Bao, Rongxuan;Liu, Youwei;Han, Yujing;Zeng, Yida;Liu, Zhongyu;Wang, Rongyang",Journal of Hydrology,2026-07-01,"The accurate spatial upscaling of evapotranspiration (λET) models from point to regional scale is crucial for enhancing irrigation efficiency, optimizing water resource allocation, and ensuring food security. However, challenges including model parameter uncertainty and data fusion complexity have significantly limited the reliability and broad application of these models. In this study, based on the Penman-Monteith (PM) framework, three canopy resistance (r<inf>c</inf>)-based λET models were developed using observations from a Bowen Ratio Energy Balance (BREB) system and field-measured Leaf Area Index (LAI) data from a maize field in Daoli District, Harbin, Heilongjiang Province, China, collected between 2021 and 2024. These models incorporate aerodynamic resistance (the PM<inf>rc</inf><inf>-</inf><inf>KP</inf> model), the canopy-air temperature difference (the PM<inf>rc</inf><inf>-</inf><inf>IS</inf> model), and combined meteorological and crop physiological factors (the PM<inf>rc</inf><inf>-</inf><inf>ST</inf> model), respectively. Parameterized versions of these models were applied to estimate maize λET at 19 representative sites across Heilongjiang Province, utilizing Sentinel-2 high-resolution remote sensing data and ground meteorological observations. The model estimates were validated against ERA5-Land reanalysis data. The results indicate that the PM<inf>rc</inf><inf>-</inf><inf>ST</inf> model consistently outperformed the PM<inf>rc</inf><inf>-</inf><inf>KP</inf> and PM<inf>rc</inf><inf>-</inf><inf>IS</inf> models at all sites. The λET estimates from the PM<inf>rc</inf><inf>-</inf><inf>ST</inf> model achieved R2 values above 0.92, with RMSE ranging from 36.92 to 96.37 W m−2 across sites. The PM<inf>rc</inf><inf>-</inf><inf>KP</inf> model ranked second in performance, while the PM<inf>rc</inf><inf>-</inf><inf>IS</inf> model showed relatively lower accuracy, with notably higher RMSE and MAE values. Vapor Pressure Deficit (VPD) was identified as the primary factor influencing the performance of all three models, showing a significant positive correlation with model residuals. In contrast, LAI exhibited a significant negative correlation with the residuals of the PM<inf>rc</inf><inf>-</inf><inf>ST</inf> model. Regional climate differences introduced considerable spatial variability in model performance. Highest accuracy was observed at sites in humid regions, such as Baoqing and Jixi, whereas performance was constrained at sites like Anda (semi-arid) and Huma (cold, high-latitude) due to water and heat stress. This study provides valuable insights for regional farmland-scale λET estimation and demonstrates the potential application of such models for precision agricultural water management.",Canopy resistance | Evapotranspiration | Influencing factors | Maize | Vapor pressure deficit,0,Jiangsu University;Nanjing Hydraulic Research Institute;Jiangsu University,Zhenjiang;Nanjing;镇江市,Software_DataFusion,2026
2-s2.0-105033403014,10.1016/j.compgeo.2026.108074,Climate-impacted reliability analysis of earth slopes with spatially variable soils using active learning surrogate modeling,Siacara A.T.,"Siacara, Adrian Torrico;Guo, Xiangfeng;Beck, André Teófilo",Computers and Geotechnics,2026-07-01,"Climate-induced factors such as rainfall, relative humidity, evapotranspiration, and temperature affect the stability of earth slopes, posing risks to infrastructure and public safety. Understanding and assessing these effects is essential for effective slope management and hazard mitigation. This study establishes a probabilistic framework for evaluating earth slope stability under climatic influences, including five key steps. The first two steps involve problem formulation and numerical model development, followed by a deterministic analysis in the third step. The fourth and fifth steps incorporate probabilistic analyses using random variables (RVs) and random fields (RFs), respectively. Deterministic analyses are conducted using the Finite Element Method (FEM) and the Limit Equilibrium Method (LEM), while probabilistic assessments are carried out by applying reliability techniques, including the First-Order Reliability Method (FORM) and the Adaptive Polynomial Chaos-Kriging (A-PCK) model. The framework is applied to an earth slope in Belo Horizonte, Brazil, considering 33 years of climate data. The analysis focuses on the most critical 150-day period, marked by intense climatic and groundwater fluctuations, to capture evolving safety conditions and highlight the impact of extreme weather events on slope stability. Based on the deterministic, RV, and RF approaches, a table of stability level criteria is introduced to guide slope monitoring and modeling. The slope is evaluated through a three-tiered process, progressing from deterministic analysis to probabilistic assessments using RV and RF methods, with the slope's safety updated at each step. This structured, multi-level methodology supports adaptive monitoring and informed decision-making, providing a practical tool for managing slope stability under dynamic climate conditions.",Active learning | Climate | Earth slope | Reliability analysis | Surrogate model,0,Universidade de São Paulo;South China University of Technology,Sao Paulo;Guangzhou,Software_DataFusion,2026
