year,Deterministic,Non-deterministic,Hybrid (both),Unclassified
1990,1,0,0,0
1991,4,0,0,5
1992,2,1,0,3
1993,1,3,1,0
1994,4,0,0,2
1995,3,2,0,3
1996,7,3,1,3
1997,3,1,0,3
1998,7,3,0,3
1999,6,3,1,2
2000,9,4,1,7
2001,8,6,0,1
2002,14,5,2,1
2003,13,14,3,5
2004,20,14,7,9
2005,24,10,6,13
2006,31,14,6,9
2007,49,25,9,10
2008,53,24,25,14
2009,76,32,24,8
2010,62,33,22,13
2011,88,32,23,18
2012,93,21,34,13
2013,105,31,31,26
2014,106,35,30,24
2015,97,37,30,45
2016,97,37,37,39
2017,118,42,42,50
2018,115,61,42,36
2019,131,70,53,57
2020,154,132,88,58
2021,171,96,105,93
2022,139,134,113,68
2023,165,197,96,67
2024,165,180,123,96
2025,167,227,151,110
2026,136,215,121,116
