Subject_field,Documents,Percentage (%)
Environmental Science,2233,56.83
Agricultural and Biological Sciences,211,5.37
Meteorology \& Atmospheric Sciences,127,3.23
Engineering,117,2.98
Earth and Planetary Sciences,106,2.7
Computer Science,95,2.42
Environmental Sciences \& Ecology; Geology; Remote Sensing; Imaging Science \& Photographic Technology,73,1.86
Engineering; Geology; Water Resources,71,1.81
Social Sciences,60,1.53
Agriculture; Water Resources,55,1.4
Water Resources,53,1.35
Environmental Sciences \& Ecology,52,1.32
