tool_type,citations,year,title,venue,method_class,doi
Cloud / analytics platform,848,2019,Coupled estimation of 500 m and 8-day resolution global evapotranspiration and gross primary production in 2002–2017,Remote Sensing of Environment,Non-deterministic,10.1016/j.rse.2018.12.031
Cloud / analytics platform,74,2022,"Estimating actual evapotranspiration at field-to-continent scales by calibrating the CMRSET algorithm with MODIS, VIIRS, Landsat and Sentinel-2 data",Journal of Hydrology,Deterministic,10.1016/j.jhydrol.2021.127318
Cloud / analytics platform,48,2024,Impact of land use/land cover changes on evapotranspiration and model accuracy using Google Earth engine and classification and regression tree modeling,Geomatics Natural Hazards and Risk,Unclassified,10.1080/19475705.2023.2290350
Cloud / analytics platform,42,2020,Global Trends in Evapotranspiration Dominated by Increases across Large Cropland Regions,Remote Sensing,Unclassified,10.3390/rs12071221
Cloud / analytics platform,35,2021,Estimating Actual Evapotranspiration over Croplands Using Vegetation Index Methods and Dynamic Harvested Area,Remote Sensing,Unclassified,10.3390/rs13245167
Cloud / analytics platform,31,2024,"Estimating irrigation water use from remotely sensed evapotranspiration data: Accuracy and uncertainties at field, water right, and regional scales",Agricultural Water Management,Non-deterministic,10.1016/j.agwat.2024.109036
Cloud / analytics platform,26,2023,Mapping Vegetation Index-Derived Actual Evapotranspiration across Croplands Using the Google Earth Engine Platform,Remote Sensing,Unclassified,10.3390/rs15041017
Cloud / analytics platform,25,2022,Evapotranspiration and Vegetation Cover Classifications Maps Based on Cloud Computing at the Arab Countries Scale,Earth Systems and Environment,Unclassified,10.1007/s41748-022-00320-2
Cloud / analytics platform,25,2024,Ensemble machine learning-based extrapolation of Penman-Monteith-Leuning evapotranspiration data,Ecological Indicators,Hybrid (both),10.1016/j.ecolind.2024.113012
Cloud / analytics platform,19,2019,An assessment of global precipitation and evapotranspiration products for regional applications,Remote Sensing,Deterministic,10.3390/rs11091077
Crop model / irrigation DSS,1039,2022,Version 3 of the Global Aridity Index and Potential Evapotranspiration Database,Scientific Data,Deterministic,10.1038/s41597-022-01493-1
Crop model / irrigation DSS,428,2019,Light Gradient Boosting Machine: An efficient soft computing model for estimating daily reference evapotranspiration with local and external meteorological data,Agricultural Water Management,Hybrid (both),10.1016/j.agwat.2019.105758
Crop model / irrigation DSS,218,2019,Crop water requirements and irrigation schedules for some major crops in southern Iraq,Water Switzerland,Deterministic,10.3390/w11040756
Crop model / irrigation DSS,169,2016,"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to irrigation management",Agricultural Water Management,Deterministic,10.1016/j.agwat.2015.09.007
Crop model / irrigation DSS,167,2013,"Productivity, evapotranspiration, and water use efficiency of corn and tomato crops simulated by AquaCrop under contrasting water stress conditions in the Mediterranean region",Agricultural Water Management,Deterministic,10.1016/j.agwat.2013.08.005
Crop model / irrigation DSS,131,2015,"Modelling the Crop Water Requirement Using FAO-CROPWAT and Assessment of Water Resources for Sustainable Water Resource Management: A Case Study in Palakkad District of Humid Tropical Kerala, India",Aquatic Procedia,Deterministic,10.1016/j.aqpro.2015.02.154
Crop model / irrigation DSS,130,2004,Testing and Improving Evapotranspiration and Soil Water Balance of the DSSAT Crop Models,Agronomy Journal,Deterministic,10.2134/agronj2004.1243
Crop model / irrigation DSS,110,2012,Improving evapotranspiration simulations in the CERES-Maize model under limited irrigation,Agricultural Water Management,Deterministic,10.1016/j.agwat.2012.08.013
Crop model / irrigation DSS,108,2020,Artificial intelligence models versus empirical equations for modeling monthly reference evapotranspiration,Environmental Science and Pollution Research,Hybrid (both),10.1007/s11356-020-08792-3
Crop model / irrigation DSS,107,2002,Decision Support System for Estimating Reference Evapotranspiration,Journal of Irrigation and Drainage Engineering,Deterministic,10.1061/(asce)0733-9437(2002)128:1(1)
Desktop / generic software,1819,2014,"Standardized precipitation evapotranspiration index (SPEI) revisited: Parameter fitting, evapotranspiration models, tools, datasets and drought monitoring",International Journal of Climatology,Deterministic,10.1002/joc.3887
Desktop / generic software,209,2019,The evapotranspiration process in green roofs: A review,Building and Environment,Unclassified,10.1016/j.buildenv.2018.10.024
Desktop / generic software,193,2002,Software for missing data error analysis of Penman-Monteith reference evapotranspiration,Irrigation Science,Deterministic,10.1007/s002710100047
Desktop / generic software,154,1991,FAO‐24 Reference Evapotranspiration Factors,Journal of Irrigation and Drainage Engineering,Unclassified,10.1061/(asce)0733-9437(1991)117:5(758)
Desktop / generic software,106,2013,Recent changes in reference evapotranspiration in Romania,Global and Planetary Change,Deterministic,10.1016/j.gloplacha.2013.09.004
Desktop / generic software,90,2010,Software for estimating reference evapotranspiration using limited weather data,Computers and Electronics in Agriculture,Deterministic,10.1016/j.compag.2010.01.003
Desktop / generic software,80,2015,Engineer-to-order (ETO) production planning and control: an empirical framework for machinery-building companies,Production Planning & Control,Unclassified,10.1080/09537287.2014.1001808
