Institution,Publications
Chinese Academy of Sciences,121
University of Chinese Academy of Sciences,118
"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",70
Beijing Normal University,68
United States Geological Survey,50
University of Nebraska–Lincoln,48
Hohai University,47
Agricultural Research Service,44
Centre National de la Recherche Scientifique,43
USDA ARS Beltsville Agricultural Research Center,43
Institute of Geographic Sciences and Natural Resources Research,42
Utah State University,40
USDA Agricultural Research Service,40
"University of California, Davis",39
Centre d'Études Spatiales de la Biosphère,39
